name,type,sponsoring_org,dates,iana_url
.aaa,generic,"American Automobile Association, Inc.","Record last updated 2015-08-28.Registration date 2015-08-13.",https://www.iana.org/domains/root/db/aaa.html
.aarp,generic,AARP,"Record last updated 2016-02-22.Registration date 2015-10-22.",https://www.iana.org/domains/root/db/aarp.html
.abarth,generic,Fiat Chrysler Automobiles N.V.,"Record last updated 2016-08-04.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/abarth.html
.abb,generic,ABB Ltd,"Record last updated 2016-02-19.Registration date 2015-04-09.",https://www.iana.org/domains/root/db/abb.html
.abbott,generic,"Abbott Laboratories, Inc.","Record last updated 2016-06-14.Registration date 2014-11-20.",https://www.iana.org/domains/root/db/abbott.html
.abbvie,generic,AbbVie Inc.,"Record last updated 2016-04-06.Registration date 2016-02-26.",https://www.iana.org/domains/root/db/abbvie.html
.abc,generic,"Disney Enterprises, Inc.","Record last updated 2016-07-28.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/abc.html
.able,generic,Able Inc.,"Record last updated 2016-06-22.Registration date 2016-03-03.",https://www.iana.org/domains/root/db/able.html
.abogado,generic,Top Level Domain Holdings Limited,"Record last updated 2016-04-16.Registration date 2014-07-10.",https://www.iana.org/domains/root/db/abogado.html
.abudhabi,generic,Abu Dhabi Systems and Information Centre,"Record last updated 2016-04-06.Registration date 2016-02-26.",https://www.iana.org/domains/root/db/abudhabi.html
.ac,country-code,"Network Information Center (AC Domain Registry)
c/o Cable and Wireless (Ascension Island)","Record last updated 2016-02-26.Registration date 1997-12-19.",https://www.iana.org/domains/root/db/ac.html
.academy,generic,"Half Oaks, LLC","Record last updated 2015-06-29.Registration date 2013-12-12.",https://www.iana.org/domains/root/db/academy.html
.accenture,generic,Accenture plc,"Record last updated 2016-02-17.Registration date 2015-04-30.",https://www.iana.org/domains/root/db/accenture.html
.accountant,generic,dot Accountant Limited,"Record last updated 2015-07-02.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/accountant.html
.accountants,generic,"Knob Town, LLC","Record last updated 2015-06-29.Registration date 2014-04-24.",https://www.iana.org/domains/root/db/accountants.html
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,"Record last updated 2015-08-27.Registration date 2015-07-16.",https://www.iana.org/domains/root/db/aco.html
.active,generic,"The Active Network, Inc","Record last updated 2014-06-26.Registration date 2014-06-19.",https://www.iana.org/domains/root/db/active.html
.actor,generic,United TLD Holdco Ltd.,"Record last updated 2015-06-11.Registration date 2014-02-20.",https://www.iana.org/domains/root/db/actor.html
.ad,country-code,Andorra Telecom,"Record last updated 2015-09-13.Registration date 1996-01-09.",https://www.iana.org/domains/root/db/ad.html
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),"Record last updated 2016-01-26.Registration date 2015-11-20.",https://www.iana.org/domains/root/db/adac.html
.ads,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/ads.html
.adult,generic,ICM Registry AD LLC,"Record last updated 2014-12-08.Registration date 2014-11-26.",https://www.iana.org/domains/root/db/adult.html
.ae,country-code,Telecommunication Regulatory Authority (TRA),"Record last updated 2011-10-20.Registration date 1992-12-01.",https://www.iana.org/domains/root/db/ae.html
.aeg,generic,Aktiebolaget Electrolux,"Record last updated 2016-02-19.Registration date 2015-06-11.",https://www.iana.org/domains/root/db/aeg.html
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),"Record last updated 2015-12-07.Registration date 2001-12-21.",https://www.iana.org/domains/root/db/aero.html
.aetna,generic,Aetna Life Insurance Company,"Record last updated 2016-05-20.Registration date 2016-04-21.",https://www.iana.org/domains/root/db/aetna.html
.af,country-code,Ministry of Communications and IT,"Record last updated 2016-08-04.Registration date 1997-10-16.",https://www.iana.org/domains/root/db/af.html
.afamilycompany,generic,"Johnson Shareholdings, Inc.","Record last updated 2016-07-31.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/afamilycompany.html
.afl,generic,Australian Football League,"Record last updated 2015-10-24.Registration date 2015-02-19.",https://www.iana.org/domains/root/db/afl.html
.ag,country-code,UHSA School of Medicine,"Record last updated 2011-01-03.Registration date 1991-09-03.",https://www.iana.org/domains/root/db/ag.html
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),"Record last updated 2016-04-16.Registration date 2016-03-31.",https://www.iana.org/domains/root/db/agakhan.html
.agency,generic,"Steel Falls, LLC","Record last updated 2015-06-29.Registration date 2014-01-09.",https://www.iana.org/domains/root/db/agency.html
.ai,country-code,Government of Anguilla,"Record last updated 2012-05-02.Registration date 1995-02-16.",https://www.iana.org/domains/root/db/ai.html
.aig,generic,"American International Group, Inc.","Record last updated 2016-05-02.Registration date 2015-04-09.",https://www.iana.org/domains/root/db/aig.html
.aigo,generic,"aigo Digital Technology Co,Ltd.","Record last updated 2016-08-17.Registration date 2016-08-04.",https://www.iana.org/domains/root/db/aigo.html
.airbus,generic,Airbus S.A.S.,"Record last updated 2016-06-10.Registration date 2016-05-26.",https://www.iana.org/domains/root/db/airbus.html
.airforce,generic,United TLD Holdco Ltd.,"Record last updated 2015-06-11.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/airforce.html
.airtel,generic,Bharti Airtel Limited,"Record last updated 2016-03-09.Registration date 2015-06-18.",https://www.iana.org/domains/root/db/airtel.html
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),"Record last updated 2016-04-16.Registration date 2016-03-31.",https://www.iana.org/domains/root/db/akdn.html
.al,country-code,Electronic and Postal Communications Authority - AKEP,"Record last updated 2016-05-20.Registration date 1992-04-21.",https://www.iana.org/domains/root/db/al.html
.alfaromeo,generic,Fiat Chrysler Automobiles N.V.,"Record last updated 2016-08-02.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/alfaromeo.html
.alibaba,generic,Alibaba Group Holding Limited,"Record last updated 2016-01-19.Registration date 2016-01-08.",https://www.iana.org/domains/root/db/alibaba.html
.alipay,generic,Alibaba Group Holding Limited,"Record last updated 2016-01-19.Registration date 2016-01-08.",https://www.iana.org/domains/root/db/alipay.html
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,"Record last updated 2016-01-27.Registration date 2014-09-25.",https://www.iana.org/domains/root/db/allfinanz.html
.allstate,generic,Allstate Fire and Casualty Insurance Company,"Record last updated 2016-07-14.Registration date 2016-02-05.",https://www.iana.org/domains/root/db/allstate.html
.ally,generic,Ally Financial Inc.,"Record last updated 2016-03-24.Registration date 2015-10-22.",https://www.iana.org/domains/root/db/ally.html
.alsace,generic,REGION D ALSACE,"Record last updated 2014-10-06.Registration date 2014-09-18.",https://www.iana.org/domains/root/db/alsace.html
.alstom,generic,ALSTOM,"Record last updated 2016-06-10.Registration date 2015-12-04.",https://www.iana.org/domains/root/db/alstom.html
.am,country-code,"""Internet Society"" Non-governmental Organization","Record last updated 2016-07-21.Registration date 1994-08-26.",https://www.iana.org/domains/root/db/am.html
.americanexpress,generic,"American Express Travel Related Services Company, Inc.","Record last updated 2016-08-08.Registration date 2016-07-22.",https://www.iana.org/domains/root/db/americanexpress.html
.americanfamily,generic,"AmFam, Inc.","Record last updated 2016-07-26.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/americanfamily.html
.amex,generic,"American Express Travel Related Services Company, Inc.","Record last updated 2016-08-08.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/amex.html
.amfam,generic,"AmFam, Inc.","Record last updated 2016-07-23.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/amfam.html
.amica,generic,Amica Mutual Insurance Company,"Record last updated 2015-08-29.Registration date 2015-08-06.",https://www.iana.org/domains/root/db/amica.html
.amsterdam,generic,Gemeente Amsterdam,"Record last updated 2014-12-26.Registration date 2014-11-20.",https://www.iana.org/domains/root/db/amsterdam.html
.an,country-code,Retired,"Record last updated 2015-08-06.Registration date 1993-09-09.",https://www.iana.org/domains/root/db/an.html
.analytics,generic,Campus IP LLC,"Record last updated 2015-12-21.Registration date 2015-11-20.",https://www.iana.org/domains/root/db/analytics.html
.android,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-10-30.",https://www.iana.org/domains/root/db/android.html
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,"Record last updated 2016-04-05.Registration date 2016-03-18.",https://www.iana.org/domains/root/db/anquan.html
.anz,generic,Australia and New Zealand Banking Group Limited,"Record last updated 2016-06-22.Registration date 2016-06-09.",https://www.iana.org/domains/root/db/anz.html
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto,"Record last updated 2014-10-28.Registration date 1995-11-15.",https://www.iana.org/domains/root/db/ao.html
.apartments,generic,"June Maple, LLC","Record last updated 2015-06-29.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/apartments.html
.app,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2015-06-25.",https://www.iana.org/domains/root/db/app.html
.apple,generic,Apple Inc.,"Record last updated 2015-11-04.Registration date 2015-07-02.",https://www.iana.org/domains/root/db/apple.html
.aq,country-code,Antarctica Network Information Centre Limited,"Record last updated 2016-02-26.Registration date 1992-02-26.",https://www.iana.org/domains/root/db/aq.html
.aquarelle,generic,Aquarelle.com,"Record last updated 2014-12-02.Registration date 2014-11-06.",https://www.iana.org/domains/root/db/aquarelle.html
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica,"Record last updated 2016-06-30.Registration date 1987-09-23.",https://www.iana.org/domains/root/db/ar.html
.aramco,generic,Aramco Services Company,"Record last updated 2015-10-15.Registration date 2015-08-20.",https://www.iana.org/domains/root/db/aramco.html
.archi,generic,STARTING DOT LIMITED,"Record last updated 2016-01-30.Registration date 2014-03-20.",https://www.iana.org/domains/root/db/archi.html
.army,generic,United TLD Holdco Ltd.,"Record last updated 2015-06-11.Registration date 2014-05-29.",https://www.iana.org/domains/root/db/army.html
.arpa,infrastructure,Internet Architecture Board (IAB),"Record last updated 2016-03-23.Registration date 1985-01-01.",https://www.iana.org/domains/root/db/arpa.html
.art,generic,UK Creative Ideas Limited,"Record last updated 2016-06-23.Registration date 2016-06-09.",https://www.iana.org/domains/root/db/art.html
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,"Record last updated 2016-02-19.Registration date 2015-09-24.",https://www.iana.org/domains/root/db/arte.html
.as,country-code,AS Domain Registry,"Record last updated 2015-08-31.Registration date 1997-06-12.",https://www.iana.org/domains/root/db/as.html
.asda,generic,"Wal-Mart Stores, Inc.","Record last updated 2016-08-14.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/asda.html
.asia,sponsored,DotAsia Organisation Ltd.,"Record last updated 2014-04-10.Registration date 2007-05-02.",https://www.iana.org/domains/root/db/asia.html
.associates,generic,"Baxter Hill, LLC","Record last updated 2015-06-29.Registration date 2014-04-03.",https://www.iana.org/domains/root/db/associates.html
.at,country-code,nic.at GmbH,"Record last updated 2016-01-21.Registration date 1988-01-20.",https://www.iana.org/domains/root/db/at.html
.athleta,generic,"The Gap, Inc.","Record last updated 2016-08-04.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/athleta.html
.attorney,generic,"United TLD Holdco, Ltd","Record last updated 2015-06-11.Registration date 2014-05-22.",https://www.iana.org/domains/root/db/attorney.html
.au,country-code,.au Domain Administration (auDA),"Record last updated 2016-04-01.Registration date 1986-03-05.",https://www.iana.org/domains/root/db/au.html
.auction,generic,"United TLD HoldCo, Ltd.","Record last updated 2015-06-11.Registration date 2014-04-24.",https://www.iana.org/domains/root/db/auction.html
.audi,generic,AUDI Aktiengesellschaft,"Record last updated 2015-11-25.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/audi.html
.audible,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2016-05-19.",https://www.iana.org/domains/root/db/audible.html
.audio,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2014-05-08.",https://www.iana.org/domains/root/db/audio.html
.auspost,generic,Australian Postal Corporation,"Record last updated 2016-08-18.Registration date 2016-08-11.",https://www.iana.org/domains/root/db/auspost.html
.author,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/author.html
.auto,generic,Cars Registry Limited,"Record last updated 2015-09-09.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/auto.html
.autos,generic,"DERAutos, LLC","Record last updated 2015-03-13.Registration date 2014-05-01.",https://www.iana.org/domains/root/db/autos.html
.avianca,generic,Aerovias del Continente Americano S.A. Avianca,"Record last updated 2016-03-09.Registration date 2016-02-26.",https://www.iana.org/domains/root/db/avianca.html
.aw,country-code,SETAR,"Record last updated 2016-06-10.Registration date 1996-02-20.",https://www.iana.org/domains/root/db/aw.html
.aws,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2016-03-18.",https://www.iana.org/domains/root/db/aws.html
.ax,country-code,Ålands landskapsregering,"Record last updated 2012-12-04.Registration date 2006-06-21.",https://www.iana.org/domains/root/db/ax.html
.axa,generic,AXA SA,"Record last updated 2016-06-17.Registration date 2014-03-13.",https://www.iana.org/domains/root/db/axa.html
.az,country-code,IntraNS,"Record last updated 2016-01-12.Registration date 1993-08-25.",https://www.iana.org/domains/root/db/az.html
.azure,generic,Microsoft Corporation,"Record last updated 2016-02-27.Registration date 2015-04-30.",https://www.iana.org/domains/root/db/azure.html
.ba,country-code,Universtiy Telinformatic Centre (UTIC),"Record last updated 2016-03-14.Registration date 1996-08-14.",https://www.iana.org/domains/root/db/ba.html
.baby,generic,"Johnson & Johnson Services, Inc.","Record last updated 2016-04-08.Registration date 2016-01-14.",https://www.iana.org/domains/root/db/baby.html
.baidu,generic,"Baidu, Inc.","Record last updated 2016-01-05.Registration date 2015-12-17.",https://www.iana.org/domains/root/db/baidu.html
.banamex,generic,Citigroup Inc.,"Record last updated 2016-07-28.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/banamex.html
.bananarepublic,generic,"The Gap, Inc.","Record last updated 2016-08-04.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/bananarepublic.html
.band,generic,"United TLD Holdco, Ltd","Record last updated 2015-06-11.Registration date 2014-10-01.",https://www.iana.org/domains/root/db/band.html
.bank,generic,"fTLD Registry Services, LLC","Record last updated 2016-02-22.Registration date 2014-11-26.",https://www.iana.org/domains/root/db/bank.html
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,"Record last updated 2015-10-14.Registration date 2014-02-13.",https://www.iana.org/domains/root/db/bar.html
.barcelona,generic,Municipi de Barcelona,"Record last updated 2015-07-08.Registration date 2015-06-04.",https://www.iana.org/domains/root/db/barcelona.html
.barclaycard,generic,Barclays Bank PLC,"Record last updated 2015-01-25.Registration date 2015-01-08.",https://www.iana.org/domains/root/db/barclaycard.html
.barclays,generic,Barclays Bank PLC,"Record last updated 2015-01-25.Registration date 2015-01-08.",https://www.iana.org/domains/root/db/barclays.html
.barefoot,generic,"Gallo Vineyards, Inc.","Record last updated 2016-03-24.Registration date 2015-10-24.",https://www.iana.org/domains/root/db/barefoot.html
