name,type,sponsoring_org,last_updated,registered,iana_url
.aaa,generic,"American Automobile Association, Inc.",2015-08-28,2015-08-13,https://www.iana.org/domains/root/db/aaa.html
.aarp,generic,AARP,2016-02-22,2015-10-22,https://www.iana.org/domains/root/db/aarp.html
.abarth,generic,Fiat Chrysler Automobiles N.V.,2016-08-04,2016-07-14,https://www.iana.org/domains/root/db/abarth.html
.abb,generic,ABB Ltd,2016-02-19,2015-04-09,https://www.iana.org/domains/root/db/abb.html
.abbott,generic,"Abbott Laboratories, Inc.",2016-06-14,2014-11-20,https://www.iana.org/domains/root/db/abbott.html
.abbvie,generic,AbbVie Inc.,2016-04-06,2016-02-26,https://www.iana.org/domains/root/db/abbvie.html
.abc,generic,"Disney Enterprises, Inc.",2016-07-28,2016-07-21,https://www.iana.org/domains/root/db/abc.html
.able,generic,Able Inc.,2016-06-22,2016-03-03,https://www.iana.org/domains/root/db/able.html
.abogado,generic,Top Level Domain Holdings Limited,2016-04-16,2014-07-10,https://www.iana.org/domains/root/db/abogado.html
.abudhabi,generic,Abu Dhabi Systems and Information Centre,2016-04-06,2016-02-26,https://www.iana.org/domains/root/db/abudhabi.html
.ac,country-code,"Network Information Center (AC Domain Registry)
c/o Cable and Wireless (Ascension Island)",2016-02-26,1997-12-19,https://www.iana.org/domains/root/db/ac.html
.academy,generic,"Half Oaks, LLC",2015-06-29,2013-12-12,https://www.iana.org/domains/root/db/academy.html
.accenture,generic,Accenture plc,2016-02-17,2015-04-30,https://www.iana.org/domains/root/db/accenture.html
.accountant,generic,dot Accountant Limited,2015-07-02,2015-02-05,https://www.iana.org/domains/root/db/accountant.html
.accountants,generic,"Knob Town, LLC",2015-06-29,2014-04-24,https://www.iana.org/domains/root/db/accountants.html
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,2015-08-27,2015-07-16,https://www.iana.org/domains/root/db/aco.html
.active,generic,"The Active Network, Inc",2014-06-26,2014-06-19,https://www.iana.org/domains/root/db/active.html
.actor,generic,United TLD Holdco Ltd.,2015-06-11,2014-02-20,https://www.iana.org/domains/root/db/actor.html
.ad,country-code,Andorra Telecom,2015-09-13,1996-01-09,https://www.iana.org/domains/root/db/ad.html
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),2016-01-26,2015-11-20,https://www.iana.org/domains/root/db/adac.html
.ads,generic,Charleston Road Registry Inc.,2016-08-03,2015-02-05,https://www.iana.org/domains/root/db/ads.html
.adult,generic,ICM Registry AD LLC,2014-12-08,2014-11-26,https://www.iana.org/domains/root/db/adult.html
.ae,country-code,Telecommunication Regulatory Authority (TRA),2011-10-20,1992-12-01,https://www.iana.org/domains/root/db/ae.html
.aeg,generic,Aktiebolaget Electrolux,2016-02-19,2015-06-11,https://www.iana.org/domains/root/db/aeg.html
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),2015-12-07,2001-12-21,https://www.iana.org/domains/root/db/aero.html
.aetna,generic,Aetna Life Insurance Company,2016-05-20,2016-04-21,https://www.iana.org/domains/root/db/aetna.html
.af,country-code,Ministry of Communications and IT,2016-08-04,1997-10-16,https://www.iana.org/domains/root/db/af.html
.afamilycompany,generic,"Johnson Shareholdings, Inc.",2016-07-31,2016-07-14,https://www.iana.org/domains/root/db/afamilycompany.html
.afl,generic,Australian Football League,2015-10-24,2015-02-19,https://www.iana.org/domains/root/db/afl.html
.ag,country-code,UHSA School of Medicine,2011-01-03,1991-09-03,https://www.iana.org/domains/root/db/ag.html
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),2016-04-16,2016-03-31,https://www.iana.org/domains/root/db/agakhan.html
.agency,generic,"Steel Falls, LLC",2015-06-29,2014-01-09,https://www.iana.org/domains/root/db/agency.html
.ai,country-code,Government of Anguilla,2012-05-02,1995-02-16,https://www.iana.org/domains/root/db/ai.html
.aig,generic,"American International Group, Inc.",2016-05-02,2015-04-09,https://www.iana.org/domains/root/db/aig.html
.aigo,generic,"aigo Digital Technology Co,Ltd.",2016-08-17,2016-08-04,https://www.iana.org/domains/root/db/aigo.html
.airbus,generic,Airbus S.A.S.,2016-06-10,2016-05-26,https://www.iana.org/domains/root/db/airbus.html
.airforce,generic,United TLD Holdco Ltd.,2015-06-11,2014-04-17,https://www.iana.org/domains/root/db/airforce.html
.airtel,generic,Bharti Airtel Limited,2016-03-09,2015-06-18,https://www.iana.org/domains/root/db/airtel.html
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),2016-04-16,2016-03-31,https://www.iana.org/domains/root/db/akdn.html
.al,country-code,Electronic and Postal Communications Authority - AKEP,2016-05-20,1992-04-21,https://www.iana.org/domains/root/db/al.html
.alfaromeo,generic,Fiat Chrysler Automobiles N.V.,2016-08-02,2016-07-21,https://www.iana.org/domains/root/db/alfaromeo.html
.alibaba,generic,Alibaba Group Holding Limited,2016-01-19,2016-01-08,https://www.iana.org/domains/root/db/alibaba.html
.alipay,generic,Alibaba Group Holding Limited,2016-01-19,2016-01-08,https://www.iana.org/domains/root/db/alipay.html
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2016-01-27,2014-09-25,https://www.iana.org/domains/root/db/allfinanz.html
.allstate,generic,Allstate Fire and Casualty Insurance Company,2016-07-14,2016-02-05,https://www.iana.org/domains/root/db/allstate.html
.ally,generic,Ally Financial Inc.,2016-03-24,2015-10-22,https://www.iana.org/domains/root/db/ally.html
.alsace,generic,REGION D ALSACE,2014-10-06,2014-09-18,https://www.iana.org/domains/root/db/alsace.html
.alstom,generic,ALSTOM,2016-06-10,2015-12-04,https://www.iana.org/domains/root/db/alstom.html
.am,country-code,"""Internet Society"" Non-governmental Organization",2016-07-21,1994-08-26,https://www.iana.org/domains/root/db/am.html
.americanexpress,generic,"American Express Travel Related Services Company, Inc.",2016-08-08,2016-07-22,https://www.iana.org/domains/root/db/americanexpress.html
.americanfamily,generic,"AmFam, Inc.",2016-07-26,2016-07-14,https://www.iana.org/domains/root/db/americanfamily.html
.amex,generic,"American Express Travel Related Services Company, Inc.",2016-08-08,2016-07-21,https://www.iana.org/domains/root/db/amex.html
.amfam,generic,"AmFam, Inc.",2016-07-23,2016-07-14,https://www.iana.org/domains/root/db/amfam.html
.amica,generic,Amica Mutual Insurance Company,2015-08-29,2015-08-06,https://www.iana.org/domains/root/db/amica.html
.amsterdam,generic,Gemeente Amsterdam,2014-12-26,2014-11-20,https://www.iana.org/domains/root/db/amsterdam.html
.an,country-code,Retired,2015-08-06,1993-09-09,https://www.iana.org/domains/root/db/an.html
.analytics,generic,Campus IP LLC,2015-12-21,2015-11-20,https://www.iana.org/domains/root/db/analytics.html
.android,generic,Charleston Road Registry Inc.,2016-08-03,2014-10-30,https://www.iana.org/domains/root/db/android.html
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,2016-04-05,2016-03-18,https://www.iana.org/domains/root/db/anquan.html
.anz,generic,Australia and New Zealand Banking Group Limited,2016-06-22,2016-06-09,https://www.iana.org/domains/root/db/anz.html
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto,2014-10-28,1995-11-15,https://www.iana.org/domains/root/db/ao.html
.apartments,generic,"June Maple, LLC",2015-06-29,2015-02-05,https://www.iana.org/domains/root/db/apartments.html
.app,generic,Charleston Road Registry Inc.,2016-08-03,2015-06-25,https://www.iana.org/domains/root/db/app.html
.apple,generic,Apple Inc.,2015-11-04,2015-07-02,https://www.iana.org/domains/root/db/apple.html
.aq,country-code,Antarctica Network Information Centre Limited,2016-02-26,1992-02-26,https://www.iana.org/domains/root/db/aq.html
.aquarelle,generic,Aquarelle.com,2014-12-02,2014-11-06,https://www.iana.org/domains/root/db/aquarelle.html
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica,2016-06-30,1987-09-23,https://www.iana.org/domains/root/db/ar.html
.aramco,generic,Aramco Services Company,2015-10-15,2015-08-20,https://www.iana.org/domains/root/db/aramco.html
.archi,generic,STARTING DOT LIMITED,2016-01-30,2014-03-20,https://www.iana.org/domains/root/db/archi.html
.army,generic,United TLD Holdco Ltd.,2015-06-11,2014-05-29,https://www.iana.org/domains/root/db/army.html
.arpa,infrastructure,Internet Architecture Board (IAB),2016-03-23,1985-01-01,https://www.iana.org/domains/root/db/arpa.html
.art,generic,UK Creative Ideas Limited,2016-06-23,2016-06-09,https://www.iana.org/domains/root/db/art.html
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,2016-02-19,2015-09-24,https://www.iana.org/domains/root/db/arte.html
.as,country-code,AS Domain Registry,2015-08-31,1997-06-12,https://www.iana.org/domains/root/db/as.html
.asda,generic,"Wal-Mart Stores, Inc.",2016-08-14,2016-07-21,https://www.iana.org/domains/root/db/asda.html
.asia,sponsored,DotAsia Organisation Ltd.,2014-04-10,2007-05-02,https://www.iana.org/domains/root/db/asia.html
.associates,generic,"Baxter Hill, LLC",2015-06-29,2014-04-03,https://www.iana.org/domains/root/db/associates.html
.at,country-code,nic.at GmbH,2016-01-21,1988-01-20,https://www.iana.org/domains/root/db/at.html
.athleta,generic,"The Gap, Inc.",2016-08-04,2016-07-14,https://www.iana.org/domains/root/db/athleta.html
.attorney,generic,"United TLD Holdco, Ltd",2015-06-11,2014-05-22,https://www.iana.org/domains/root/db/attorney.html
.au,country-code,.au Domain Administration (auDA),2016-04-01,1986-03-05,https://www.iana.org/domains/root/db/au.html
