name,type,sponsoring_org,last_updated,registered,iana_url
.arpa,infrastructure,Internet Architecture Board (IAB),2016-03-23,1985-01-01,https://www.iana.org/domains/root/db/arpa.html
.com,generic,VeriSign Global Registry Services,2015-05-29,1985-01-01,https://www.iana.org/domains/root/db/com.html
.edu,sponsored,EDUCAUSE,2014-06-18,1985-01-01,https://www.iana.org/domains/root/db/edu.html
.gov,sponsored,"General Services Administration
Attn: QTDC, 2E08 (.gov Domain Registration)",2013-09-10,1985-01-01,https://www.iana.org/domains/root/db/gov.html
.mil,sponsored,DoD Network Information Center,2016-01-20,1985-01-01,https://www.iana.org/domains/root/db/mil.html
.net,generic,VeriSign Global Registry Services,2015-05-29,1985-01-01,https://www.iana.org/domains/root/db/net.html
.org,generic,Public Interest Registry (PIR),2016-05-10,1985-01-01,https://www.iana.org/domains/root/db/org.html
.us,country-code,"NeuStar, Inc.",2015-07-20,1985-02-15,https://www.iana.org/domains/root/db/us.html
.gb,country-code,Reserved Domain - IANA,2009-07-22,1985-07-24,https://www.iana.org/domains/root/db/gb.html
.uk,country-code,Nominet UK,2015-09-01,1985-07-24,https://www.iana.org/domains/root/db/uk.html
.il,country-code,Internet Society of Israel,2014-12-17,1985-10-24,https://www.iana.org/domains/root/db/il.html
.au,country-code,.au Domain Administration (auDA),2016-04-01,1986-03-05,https://www.iana.org/domains/root/db/au.html
.nl,country-code,SIDN (Stichting Internet  Domeinregistratie Nederland),2016-06-08,1986-04-25,https://www.iana.org/domains/root/db/nl.html
.jp,country-code,"Japan Registry Services Co., Ltd.",2016-05-26,1986-08-05,https://www.iana.org/domains/root/db/jp.html
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),2016-01-25,1986-09-02,https://www.iana.org/domains/root/db/fr.html
.se,country-code,The Internet Infrastructure Foundation,2016-06-09,1986-09-04,https://www.iana.org/domains/root/db/se.html
.kr,country-code,Korea Internet & Security Agency (KISA),2014-01-13,1986-09-29,https://www.iana.org/domains/root/db/kr.html
.de,country-code,DENIC eG,2012-04-19,1986-11-05,https://www.iana.org/domains/root/db/de.html
.fi,country-code,Finnish Communications Regulatory Authority,2016-05-26,1986-12-17,https://www.iana.org/domains/root/db/fi.html
.nz,country-code,InternetNZ,2016-07-02,1987-01-19,https://www.iana.org/domains/root/db/nz.html
.no,country-code,UNINETT Norid A/S,2015-04-16,1987-03-17,https://www.iana.org/domains/root/db/no.html
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),2016-03-16,1987-05-14,https://www.iana.org/domains/root/db/ca.html
.ch,country-code,SWITCH The Swiss Education & Research Network,2016-06-13,1987-05-20,https://www.iana.org/domains/root/db/ch.html
.my,country-code,MYNIC Berhad,2015-08-19,1987-06-08,https://www.iana.org/domains/root/db/my.html
.dk,country-code,Dansk Internet Forum,2016-07-01,1987-07-14,https://www.iana.org/domains/root/db/dk.html
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica,2016-06-30,1987-09-23,https://www.iana.org/domains/root/db/ar.html
.is,country-code,ISNIC - Internet Iceland ltd.,2016-06-01,1987-11-18,https://www.iana.org/domains/root/db/is.html
.it,country-code,IIT - CNR,2015-06-05,1987-12-23,https://www.iana.org/domains/root/db/it.html
.at,country-code,nic.at GmbH,2016-01-21,1988-01-20,https://www.iana.org/domains/root/db/at.html
.ie,country-code,"University College Dublin
Computing Services
Computer Centre",2014-12-15,1988-01-27,https://www.iana.org/domains/root/db/ie.html
.es,country-code,Red.es,2016-04-23,1988-04-14,https://www.iana.org/domains/root/db/es.html
.pt,country-code,Associação DNS.PT,2016-04-13,1988-06-30,https://www.iana.org/domains/root/db/pt.html
.be,country-code,DNS Belgium vzw/asbl,2016-06-28,1988-08-05,https://www.iana.org/domains/root/db/be.html
.th,country-code,Thai Network Information Center Foundation,2016-02-13,1988-09-07,https://www.iana.org/domains/root/db/th.html
.sg,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd,2015-06-05,1988-10-19,https://www.iana.org/domains/root/db/sg.html
.int,sponsored,Internet Assigned Numbers Authority,2012-10-10,1988-11-03,https://www.iana.org/domains/root/db/int.html
.mx,country-code,"NIC-Mexico
ITESM - Campus Monterrey",2016-06-16,1989-02-01,https://www.iana.org/domains/root/db/mx.html
.gr,country-code,ICS-FORTH GR,2016-06-17,1989-02-19,https://www.iana.org/domains/root/db/gr.html
.br,country-code,Comite Gestor da Internet no Brasil,2015-06-18,1989-04-18,https://www.iana.org/domains/root/db/br.html
.in,country-code,National Internet Exchange of India,2015-09-13,1989-05-08,https://www.iana.org/domains/root/db/in.html
.tw,country-code,Taiwan Network Information Center (TWNIC),2015-05-01,1989-07-31,https://www.iana.org/domains/root/db/tw.html
.pr,country-code,Gauss Research Laboratory Inc.,2015-09-15,1989-08-27,https://www.iana.org/domains/root/db/pr.html
.ni,country-code,"Universidad Nacional del Ingernieria
Centro de Computo",2013-10-14,1989-10-13,https://www.iana.org/domains/root/db/ni.html
.hk,country-code,Hong Kong Internet Registration Corporation Ltd.,2016-03-02,1990-01-03,https://www.iana.org/domains/root/db/hk.html
.lk,country-code,"Council for Information Technology
LK Domain Registrar",2014-06-17,1990-06-15,https://www.iana.org/domains/root/db/lk.html
.pl,country-code,Research and Academic Computer Network,2016-05-25,1990-07-30,https://www.iana.org/domains/root/db/pl.html
.cr,country-code,"National Academy of Sciences
Academia Nacional de Ciencias",2016-03-02,1990-09-10,https://www.iana.org/domains/root/db/cr.html
.uy,country-code,SeCIU - Universidad de la Republica,2015-08-24,1990-09-10,https://www.iana.org/domains/root/db/uy.html
.ph,country-code,PH Domain Foundation,2013-12-12,1990-09-14,https://www.iana.org/domains/root/db/ph.html
.tr,country-code,"Middle East Technical University
Department of Computer Engineering",2016-03-17,1990-09-17,https://www.iana.org/domains/root/db/tr.html
.su,country-code,"Russian Institute for Development of Public Networks
(ROSNIIROS)",2016-05-13,1990-09-19,https://www.iana.org/domains/root/db/su.html
.hu,country-code,Council of Hungarian Internet Providers (CHIP),2015-07-30,1990-11-07,https://www.iana.org/domains/root/db/hu.html
.za,country-code,ZA Domain Name Authority,2011-12-07,1990-11-07,https://www.iana.org/domains/root/db/za.html
.cn,country-code,China Internet Network Information Center (CNNIC),2015-06-19,1990-11-28,https://www.iana.org/domains/root/db/cn.html
.eg,country-code,"Egyptian Universities Network (EUN)
Supreme Council of Universities",2011-05-20,1990-11-30,https://www.iana.org/domains/root/db/eg.html
.ec,country-code,NIC.EC (NICEC) S.A.,2015-11-17,1991-02-01,https://www.iana.org/domains/root/db/ec.html
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,2013-06-21,1991-02-26,https://www.iana.org/domains/root/db/bo.html
.ve,country-code,Comisión Nacional de Telecomunicaciones (CONATEL),2015-07-15,1991-03-07,https://www.iana.org/domains/root/db/ve.html
.na,country-code,Namibian Network Information Center,2015-05-29,1991-05-08,https://www.iana.org/domains/root/db/na.html
